,Guild Total Value (including illiquid assets):,Total Illiquid/Non-sell assets,Total Liquid/Sellable Assets:,Net Liquid Value,📈Liquid Change,Amount Owed to Members (Bot),Alt Silver,Listed Amount?,Ocular Silver,OCLU Silver,Vanguard Silver,TOTAL Liquid Items,Sellable Items in SIV,Sellable Items in Delta HO,Sellable Items in ML,Sellable EMV in Thet,Sellable EMV in FS,Sellable EMV in Lym,Sellable EMV in BW,Random Illiquid Delta Assets - use comments pls,Random Illiquid SIV Assets - use comments pls,Random Illiquid Royals Assets - use comments pls,,Active Players,Ocular  (Active Last Week),Ocular Vanguard (Active Last Week),Ocular University (Active Last Week),
2/9,30.0128,200,749.0128,-169.9872,,919,39,200,3.5,0,70.3,545.266,445.566,0,15,15,8,0,61.7,0,0,200,,447,276,49,122,
2/16,27.3552,200,1190.3552,-172.6448,-2.6576,1363,120.9,30,58.6,0,306.3,843.194,389.794,19,0,2,4.54,0,427.86,0,0,200,,482,295,65,122,
2/17,50.617,200,1244.732,-149.383,23.2618,1394.115,2.8,42.5,56.7,0,153.5,1236.54,527.5,0,0,14,4.54,0,690.5,0,0,200,,500,290,75,135,
2/24,311.52998,526.1,1248.214,-214.57002,-65.18702,1462.78402,0,0,8.3,0.15,14.1,1532.08,546,11.5,93.3,5.6,4.48,0,871.2,6.4,260.3,259.4,,540,294,85,161,AFTER THIS POINT ONLY ACTIVE MEMBERS ARE COUNTED
3/2,-124.874,490.25,1070.506,-615.124,-400.55398,1685.63,0,0,1,0.18,2.65,1333.345,423.385,32.43,94.9,130.4,4.43,0,647.8,17.4,124.97,347.88,,456,246,90,120,
3/9,-592.111327,297.38,897,-889.491327,-274.367327,1786.491327,0,0,3.6,2.5,28.7,1077.75,419.65,28.5,5,59,0,12.4,553.2,15.44,138.54,143.4,,502,251,95,156,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
